# EVENTI.DAT
# ID|TIPO|DATA|LUOGO|ID_PERSONA|ID_FAMIGLIA|ID_FONTE|NOTE
E000257|DEAT|1632-12-01|Naro, Provincia di Agrigento, Sicilia, Italia.|P000121||S000001|IMPORT_RMTREE
E000258|MARR||||F000062|S000001|IMPORT_RMTREE
E000259|DEAT|||P000122||S000001|IMPORT_RMTREE
E000260|BIRT|1530||P000123||S000001|IMPORT_RMTREE
E000261|DEAT|||P000123||S000001|IMPORT_RMTREE
E000262|BIRT|1530||P000124||S000001|IMPORT_RMTREE
E000263|DEAT|||P000124||S000001|IMPORT_RMTREE
E000264|BIRT|1500|Palermo, Palermo, Sicilia, Italia|P000125||S000001|IMPORT_RMTREE
E000265|DEAT|||P000125||S000001|IMPORT_RMTREE
E000266|BIRT|1485||P000126||S000001|IMPORT_RMTREE
E000267|DEAT|||P000126||S000001|IMPORT_RMTREE
E000268|BIRT|1500||P000127||S000001|IMPORT_RMTREE
E000269|DEAT|||P000127||S000001|IMPORT_RMTREE
E000270|BIRT|1480||P000128||S000001|IMPORT_RMTREE
E000271|DEAT|||P000128||S000001|IMPORT_RMTREE
E000272|BIRT|1510||P000129||S000001|IMPORT_RMTREE
E000273|DEAT|||P000129||S000001|IMPORT_RMTREE
E000274|DEAT|||P000130||S000001|IMPORT_RMTREE
E000275|BIRT|1530||P000131||S000001|IMPORT_RMTREE
E000276|DEAT|||P000131||S000001|IMPORT_RMTREE
E000277|BIRT|1494|Palermo, Palermo, Sicilia, Italia|P000132||S000001|IMPORT_RMTREE
E000278|DEAT|||P000132||S000001|IMPORT_RMTREE
E000279|BIRT|1480|Palermo, Palermo, Sicilia, Italia|P000133||S000001|IMPORT_RMTREE
E000280|DEAT|||P000133||S000001|IMPORT_RMTREE
E000281|BIRT|1550|Palermo, Palermo, Sicilia, Italia|P000134||S000001|IMPORT_RMTREE
E000282|DEAT|||P000134||S000001|IMPORT_RMTREE
E000283|BIRT|1568||P000135||S000001|IMPORT_RMTREE
E000284|DEAT|||P000135||S000001|IMPORT_RMTREE
E000285|BIRT|1500||P000136||S000001|IMPORT_RMTREE
E000286|DEAT|1556||P000136||S000001|IMPORT_RMTREE
E000287|DEAT|||P000137||S000001|IMPORT_RMTREE
E000288|BIRT|1550||P000138||S000001|IMPORT_RMTREE
E000289|DEAT|||P000138||S000001|IMPORT_RMTREE
E000290|BIRT|1560||P000139||S000001|IMPORT_RMTREE
E000291|DEAT|||P000139||S000001|IMPORT_RMTREE
E000292|BIRT|1570||P000140||S000001|IMPORT_RMTREE
E000293|DEAT|||P000140||S000001|IMPORT_RMTREE
E000294|BIRT|1510|Palermo, Palermo, Sicilia, Italia|P000141||S000001|IMPORT_RMTREE
E000295|DEAT|||P000141||S000001|IMPORT_RMTREE
E000296|BIRT|1532|Palermo, Palermo, Sicilia, Italia|P000142||S000001|IMPORT_RMTREE
E000297|DEAT|||P000142||S000001|IMPORT_RMTREE
E000298|BIRT|1550|Palermo, Palermo, Sicilia, Italia|P000143||S000001|IMPORT_RMTREE
E000299|DEAT|||P000143||S000001|IMPORT_RMTREE
E000300|BIRT|1470||P000144||S000001|IMPORT_RMTREE
E000301|DEAT|||P000144||S000001|IMPORT_RMTREE
E000302|BIRT|1480||P000145||S000001|IMPORT_RMTREE
E000303|DEAT|||P000145||S000001|IMPORT_RMTREE
E000304|BIRT|1510||P000146||S000001|IMPORT_RMTREE
E000305|DEAT|||P000146||S000001|IMPORT_RMTREE
E000306|BIRT|1435||P000147||S000001|IMPORT_RMTREE
E000307|DEAT|||P000147||S000001|IMPORT_RMTREE
E000308|BIRT|1410||P000148||S000001|IMPORT_RMTREE
E000309|DEAT|||P000148||S000001|IMPORT_RMTREE
E000310|BIRT|1410|Palermo, Palermo, Sicile, Italie|P000149||S000001|IMPORT_RMTREE
E000311|DEAT|1450|Palermo, Palermo, Sicile, Italie|P000149||S000001|IMPORT_RMTREE
E000312|BIRT|1445|Messina, Messina, Sicile, Italie|P000150||S000001|IMPORT_RMTREE
E000313|DEAT|1501|Messina, Messina, Sicile, Italie|P000150||S000001|IMPORT_RMTREE
E000314|BIRT|1355|Napoli, Campania, Itália|P000151||S000001|IMPORT_RMTREE
E000315|DEAT|||P000151||S000001|IMPORT_RMTREE
E000316|BIRT|1458|Messina, Messina, Sicile, Italie|P000152||S000001|IMPORT_RMTREE
E000317|DEAT|||P000152||S000001|IMPORT_RMTREE
